size,type,threshold,time_ms
1800,reversed,0,0.122
1800,reversed,5,0.108
1800,reversed,10,0.092
1800,reversed,20,0.086
1800,reversed,30,0.107
1800,reversed,50,0.108
1800,almost,0,0.165
1800,almost,5,0.136
1800,almost,10,0.123
1800,almost,20,0.101
1800,almost,30,0.094
1800,almost,50,0.092
1900,random,0,0.236
1900,random,5,0.212
1900,random,10,0.196
1900,random,20,0.187
1900,random,30,0.179
1900,random,50,0.183
1900,reversed,0,0.134
1900,reversed,5,0.117
1900,reversed,10,0.103
1900,reversed,20,0.094
1900,reversed,30,0.116
1900,reversed,50,0.116
1900,almost,0,0.164
1900,almost,5,0.142
1900,almost,10,0.124
1900,almost,20,0.11
1900,almost,30,0.109
1900,almost,50,0.101
2000,random,0,0.263
2000,random,5,0.229
2000,random,10,0.215
2000,random,20,0.235
2000,random,30,0.245
2000,random,50,0.224
2000,reversed,0,0.16
2000,reversed,5,0.116
2000,reversed,10,0.118
2000,reversed,20,0.108
2000,reversed,30,0.101
2000,reversed,50,0.127
2000,almost,0,0.195
2000,almost,5,0.164
2000,almost,10,0.129
2000,almost,20,0.119
2000,almost,30,0.122
2000,almost,50,0.112
2100,random,0,0.312
2100,random,5,0.24
2100,random,10,0.233
2100,random,20,0.214
2100,random,30,0.222
2100,random,50,0.221
2100,reversed,0,0.156
2100,reversed,5,0.121
2100,reversed,10,0.111
2100,reversed,20,0.11
2100,reversed,30,0.109
2100,reversed,50,0.137
2100,almost,0,0.264
2100,almost,5,0.15
2100,almost,10,0.133
2100,almost,20,0.128
2100,almost,30,0.194
2100,almost,50,0.214
2200,random,0,0.281
2200,random,5,0.268
2200,random,10,0.234
2200,random,20,0.326
2200,random,30,0.224
2200,random,50,0.232
2200,reversed,0,0.175
2200,reversed,5,0.135
2200,reversed,10,0.115
2200,reversed,20,0.11
2200,reversed,30,0.113
2200,reversed,50,0.145
2200,almost,0,0.195
2200,almost,5,0.174
2200,almost,10,0.143
2200,almost,20,0.132
2200,almost,30,0.128
2200,almost,50,0.115
2300,random,0,0.287
2300,random,5,0.256
2300,random,10,0.234
2300,random,20,0.226
2300,random,30,0.223
2300,random,50,0.225
2300,reversed,0,0.168
2300,reversed,5,0.136
2300,reversed,10,0.122
2300,reversed,20,0.129
2300,reversed,30,0.124
2300,reversed,50,0.171
2300,almost,0,0.197
2300,almost,5,0.169
2300,almost,10,0.147
2300,almost,20,0.122
2300,almost,30,0.121
2300,almost,50,0.117
2400,random,0,0.288
2400,random,5,0.277
2400,random,10,0.322
2400,random,20,0.324
2400,random,30,0.351
2400,random,50,0.258
2400,reversed,0,0.19
2400,reversed,5,0.145
2400,reversed,10,0.126
2400,reversed,20,0.128
2400,reversed,30,0.132
2400,reversed,50,0.177
2400,almost,0,0.215
2400,almost,5,0.179
2400,almost,10,0.157
2400,almost,20,0.136
2400,almost,30,0.132
2400,almost,50,0.127
2500,random,0,0.331
2500,random,5,0.287
2500,random,10,0.276
2500,random,20,0.263
2500,random,30,0.273
2500,random,50,0.266
2500,reversed,0,0.187
2500,reversed,5,0.19
2500,reversed,10,0.215
2500,reversed,20,0.206
2500,reversed,30,0.204
2500,reversed,50,0.376
2500,almost,0,0.359
2500,almost,5,0.239
2500,almost,10,0.159
2500,almost,20,0.141
2500,almost,30,0.148
2500,almost,50,0.132
2600,random,0,0.378
2600,random,5,0.316
2600,random,10,0.299
2600,random,20,0.337
2600,random,30,0.284
2600,random,50,0.305
2600,reversed,0,0.203
2600,reversed,5,0.154
2600,reversed,10,0.143
2600,reversed,20,0.15
2600,reversed,30,0.143
2600,reversed,50,0.206
2600,almost,0,0.248
2600,almost,5,0.254
2600,almost,10,0.267
2600,almost,20,0.167
2600,almost,30,0.149
2600,almost,50,0.137
2700,random,0,0.374
2700,random,5,0.349
2700,random,10,0.341
2700,random,20,0.368
2700,random,30,0.372
2700,random,50,0.295
2700,reversed,0,0.229
2700,reversed,5,0.18
2700,reversed,10,0.166
2700,reversed,20,0.163
2700,reversed,30,0.159
2700,reversed,50,0.209
2700,almost,0,0.235
2700,almost,5,0.189
2700,almost,10,0.176
2700,almost,20,0.165
2700,almost,30,0.152
2700,almost,50,0.143
2800,random,0,0.376
2800,random,5,0.335
2800,random,10,0.33
2800,random,20,0.339
2800,random,30,0.3
2800,random,50,0.319
2800,reversed,0,0.203
2800,reversed,5,0.175
2800,reversed,10,0.159
2800,reversed,20,0.151
2800,reversed,30,0.161
2800,reversed,50,0.243
2800,almost,0,0.317
