N,Area_Narrow,Error_Narrow,Area_Wide,Error_Wide
100,0.928200000000000,0.017275689784220,0.980000000000000,0.037567145024202
600,0.964600000000000,0.021262518459536,1.245416666666667,0.318574913468257
1100,0.926545454545455,0.019027426522573,0.924318181818182,0.021385533670355
1600,0.968012500000000,0.024875475482388,1.148437500000000,0.215898998075237
2100,0.938600000000000,0.006264773143147,0.927500000000000,0.018016809173523
2600,0.959700000000000,0.016074682734415,1.012980769230769,0.072485270097132
3100,0.980451612903226,0.038045286565688,0.893064516129032,0.054475101711816
3600,0.946905555555556,0.002528667229932,0.932361111111111,0.012870146747808
4100,0.938409756097561,0.006466192349996,0.905304878048780,0.041515716639228
4600,0.925430434782609,0.020207944759288,0.982663043478261,0.040386620961768
5100,0.944972549019608,0.000482112053589,0.922352941176470,0.023466216447810
5600,0.936975000000000,0.007985228868314,0.905625000000000,0.041176790089242
6100,0.944311475409836,0.000217794332066,0.899672131147541,0.047479342272864
6600,0.942263636363636,0.002385927508223,0.898333333333333,0.048896783727815
7100,0.945630985915493,0.001179226839550,0.943767605633803,0.000793612098172
7600,0.971065789473684,0.028108121239677,0.915526315789474,0.030693851358969
8100,0.947298765432099,0.002944975035035,0.908919753086420,0.037688496667368
8600,0.944706976744186,0.000200939535623,0.937267441860465,0.007675608392551
9100,0.948000000000000,0.003687401513208,0.924807692307692,0.020867268363150
9600,0.953793750000000,0.009821487887171,0.888125000000000,0.059704774821817
10100,0.939912871287129,0.004874781190932,0.952103960396040,0.008032436688117
10600,0.957045283018868,0.013264022408945,1.019292452830189,0.079167714518097
11100,0.960500900900901,0.016922630143798,0.986621621621622,0.044577733841933
11600,0.947184482758621,0.002823979170498,0.935646551724138,0.009391712832497
12100,0.936923966942149,0.008039259709270,0.937479338842975,0.007451264160732
12600,0.939033333333333,0.005805984949769,1.000416666666667,0.059183127212206
13100,0.955013740458015,0.011113143006028,0.905190839694657,0.041636453832607
13600,0.939039705882353,0.005799238064572,0.978198529411765,0.035659852478202
14100,0.945109219858156,0.000626811208447,0.944379432624114,0.000145845176146
14600,0.948643835616439,0.004369057311588,0.948116438356164,0.003810679689511
15100,0.936034437086093,0.008981042314537,0.924023178807947,0.021697865742909
15600,0.929600000000000,0.015793451005614,0.924246794871795,0.021461114027656
16100,0.945608695652174,0.001155627201924,0.925217391304348,0.020433502834294
16600,0.951333734939759,0.007216966659854,0.911370481927711,0.035093807149932
17100,0.959597660818714,0.015966331946505,0.959225146198830,0.015571935078514
17600,0.948675000000000,0.004402052352893,0.929190340909091,0.016227174284581
18100,0.936545856353591,0.008439581264243,0.932624309392265,0.012591487677244
18600,0.938278494623656,0.006605164383395,0.954314516129032,0.010372844852197
19100,0.936775916230367,0.008196007213701,0.956910994764398,0.013121845795883
19600,0.950485714285714,0.006319131589508,0.963125000000000,0.019700874032076
20100,0.950112437810945,0.005923928113763,0.948308457711443,0.004013978642822
20600,0.947901941747573,0.003583583124415,0.972864077669903,0.030012044453637
21100,0.940275829383886,0.004490502215201,0.944585308056872,0.000072123788138
21600,0.942692592592593,0.001931773539021,0.940300925925926,0.004463931452473
22100,0.952988235294118,0.008968655648745,0.981662895927602,0.039327722758972
22600,0.948091150442478,0.003783906313585,0.950730088495575,0.006577860825470
23100,0.945612121212121,0.001159253986062,0.910530303030303,0.035983339823293
23600,0.934832203389831,0.010253897604213,0.959237288135593,0.015584790256740
24100,0.943756846473029,0.000805003273403,0.937302904564315,0.007638062539093
24600,0.941739024390244,0.002941356230140,0.962571138211382,0.019114477302735
25100,0.952780876494024,0.008749116181185,0.969262948207171,0.026199377499036
25600,0.948675000000000,0.004402052352893,0.950810546875000,0.006663045489790
26100,0.939217624521073,0.005610868131895,0.944798850574713,0.000298210217298
26600,0.957963157894737,0.014235815076746,0.955131578947368,0.011237903562122
